iter	Passed	Remaining
737	4583	1627
738	4589	1620
739	4594	1614
740	4600	1608
741	4606	1601
742	4612	1595
743	4618	1589
744	4624	1582
745	4630	1576
746	4636	1570
747	4642	1564
748	4648	1557
749	4655	1551
750	4660	1545
751	4666	1539
752	4672	1532
753	4678	1526
754	4684	1520
755	4690	1513
756	4696	1507
757	4703	1501
758	4708	1494
759	4713	1488
760	4719	1482
761	4724	1475
762	4731	1469
763	4737	1463
764	4743	1457
765	4750	1451
766	4756	1444
767	4760	1438
768	4765	1431
769	4772	1425
770	4778	1419
771	4783	1412
772	4789	1406
773	4795	1400
774	4801	1394
775	4808	1387
776	4814	1381
777	4820	1375
778	4826	1369
779	4832	1363
780	4838	1356
781	4845	1350
782	4851	1344
783	4857	1338
784	4863	1332
785	4869	1325
786	4876	1319
787	4882	1313
788	4888	1307
789	4894	1301
790	4900	1294
791	4907	1288
792	4912	1282
793	4918	1276
794	4924	1269
795	4930	1263
796	4936	1257
797	4942	1251
798	4949	1245
799	4955	1238
800	4961	1232
801	4967	1226
802	4973	1220
803	4979	1213
804	4986	1207
805	4991	1201
806	4998	1195
807	5004	1189
808	5010	1182
809	5016	1176
810	5022	1170
811	5028	1164
812	5035	1158
813	5041	1151
814	5047	1145
815	5053	1139
816	5059	1133
817	5065	1127
818	5071	1120
819	5078	1114
820	5084	1108
821	5090	1102
822	5096	1096
823	5102	1089
824	5108	1083
825	5114	1077
826	5121	1071
827	5127	1065
828	5133	1058
829	5139	1052
830	5145	1046
831	5151	1040
832	5158	1034
833	5164	1027
834	5170	1021
835	5176	1015
836	5182	1009
837	5189	1003
838	5195	996
839	5201	990
840	5207	984
841	5213	978
842	5219	972
843	5225	965
844	5231	959
845	5237	953
846	5242	946
847	5248	940
848	5254	934
849	5260	928
850	5267	922
851	5273	916
852	5279	909
853	5285	903
854	5292	897
855	5298	891
856	5303	884
857	5309	878
858	5316	872
859	5322	866
860	5328	860
861	5334	853
862	5340	847
863	5346	841
864	5351	835
865	5358	829
866	5364	822
867	5369	816
868	5376	810
869	5382	804
870	5388	798
871	5394	791
872	5400	785
873	5406	779
874	5412	773
875	5418	767
876	5424	760
877	5430	754
878	5436	748
879	5442	742
880	5448	736
881	5455	729
882	5461	723
883	5467	717
884	5473	711
885	5479	705
886	5485	698
887	5491	692
888	5495	686
889	5499	679
890	5502	673
891	5507	666
892	5514	660
893	5520	654
894	5526	648
895	5533	642
896	5539	636
897	5545	629
898	5551	623
899	5557	617
900	5563	611
901	5569	605
902	5575	598
903	5582	592
904	5587	586
905	5593	580
906	5600	574
907	5606	568
908	5612	561
909	5619	555
910	5624	549
911	5631	543
912	5636	537
913	5642	530
914	5648	524
915	5654	518
916	5660	512
917	5667	506
918	5672	499
919	5679	493
920	5685	487
921	5691	481
922	5698	475
923	5704	469
924	5710	463
925	5717	456
926	5723	450
927	5729	444
928	5734	438
929	5740	432
930	5747	425
931	5752	419
932	5758	413
933	5765	407
934	5771	401
935	5777	395
936	5783	388
937	5789	382
938	5795	376
939	5800	370
940	5806	364
941	5812	357
942	5818	351
943	5824	345
944	5831	339
945	5837	333
946	5843	327
947	5849	320
948	5855	314
949	5861	308
950	5867	302
951	5873	296
952	5879	289
953	5885	283
954	5891	277
955	5897	271
956	5903	265
957	5909	259
958	5916	252
959	5922	246
960	5928	240
961	5934	234
962	5940	228
963	5946	222
964	5952	215
965	5959	209
966	5965	203
967	5971	197
968	5977	191
969	5983	185
970	5989	178
971	5995	172
972	6001	166
973	6007	160
974	6013	154
975	6020	148
976	6026	141
977	6032	135
978	6038	129
979	6044	123
980	6050	117
981	6057	111
982	6063	104
983	6069	98
